phase_detector: pfd
fo(VCO_freq_in_Hz): 1.200000e+10
VCO_clock_dutycycle: 0.4000
tauff(sec): 1.0000e-11
tauh(sec): 1.0000e-11
taucp_min(sec): 1.0000e-12
pfd_deadzone(UI): 0.0000
fin(input_freq_in_Hz): 1.000000e+08
feedback_divider: 120
feedback_divider_delay(sec): 0.0000e+00
feedback_divider_clock_duty_cycle: 0.1000
jitter_amp(UIpp): 0.00 UI
Jitter_freqs(Hz): 0.0000e+00
phase0(degrees): 0.00
TSTART(sec): 0.000000e+00
TSTART_jt(sec): 2.000000e-06
TSTOP(sec): 2.000000e-06
deltat(sec): 1.000000e-13
lock_detect_tau(sec): 1.000000e-07
lock_detect_delta_vc_limit(%): 1.000000e-01
lock_detect_rphase_pp_limit(UIpp): 1.500000e-01
lock_detect_rphase_pp_loss_lock_limit(UIpp): 3.000000e-01
number_of_print_points: 5001
phase_freq_step_time(sec): 1.000000e+00
phase_step(sec): 0.0000e+00
freq_step(ppm): 0.0000e+00
ssc_start_time(sec): 1.000000e+00
max_pos_ssc(ppm): 0.00
max_neg_ssc(ppm): 0.00
freq_ssc(Hz): 0.0000e+00
phase_detector_logic_hi(V): 600.000
phase_detector_logic_low(V): -600.000
signal_source_vs1(V): 0.000
signal_source_vs2(V): 0.000
vc_model: poly
vc_polynomial_coeff.(Hz/V): -3.698400e-02,8.702100e-02
vco_bandwidth(Hz): 4.0000e+07
power_supply_max(V): 0.8500
power_supply_min(V): 0.0000
random_noise_sigma(UI_on_fin): 0.0000
RS1(ohms): 1.0000e+12
RS2(ohms): 1.0000e+12
R1(ohms): 1.0000e+06
RZERO(ohms): 1.2000e+04
R3(ohms): 1.0000e+00
C1(farads): 2.4070e-11
C2(farads): 3.6000e-13
initvc(V): 0.2000
Output_base_filename "sample_octave_output_file_v1p76"
Time(s),vpd(V),vs1(V),vs2(V),vc1(V),vc(V),phasein(UI),phaseo(UI),phaseo_delayed(UI),rphase(UI),vc2(V),VIN,CLK,VCO_CLK,CLKIN,freq (ppm from fin),VOUT
1.719999999999e-08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.971604452328e-01,2.624890061304e-01,0.000000000000e+00,-4.390407347656e-02,-4.390407347656e-02,-4.390407347656e-02,2.624944501774e-01,0,0,1,0,-1.310532430446e+04,0
1.759999999999e-08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.972467948198e-01,2.567160645397e-01,0.000000000000e+00,-4.443063727891e-02,-4.443063727891e-02,-4.443063727891e-02,2.567210203124e-01,0,0,0,0,-1.322923487280e+04,0
1.799999999998e-08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.973253997482e-01,2.514608956338e-01,0.000000000000e+00,-4.496286332016e-02,-4.496286332016e-02,-4.496286332016e-02,2.514654069254e-01,0,0,0,0,-1.338712093860e+04,0
1.839999999998e-08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.973969546334e-01,2.466770606002e-01,0.000000000000e+00,-4.550195964376e-02,-4.550195964376e-02,-4.550195964376e-02,2.466811672759e-01,0,0,1,0,-1.357162281309e+04,0
1.879999999997e-08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.974620917906e-01,2.423222857033e-01,0.000000000000e+00,-4.604886183182e-02,-4.604886183182e-02,-4.604886183182e-02,2.423260240531e-01,0,0,1,0,-1.377645334922e+04,0
1.919999999997e-08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.975213868231e-01,2.383580887214e-01,0.000000000000e+00,-4.660427313821e-02,-4.660427313821e-02,-4.660427313821e-02,2.383614917802e-01,0,0,0,0,-1.399626229743e+04,0
1.959999999996e-08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.975753637087e-01,2.347494388867e-01,0.000000000000e+00,-4.716869952107e-02,-4.716869952107e-02,-4.716869952107e-02,2.347525367266e-01,0,0,0,0,-1.422651660041e+04,0
1.999999999996e-08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.976244994297e-01,2.314644473262e-01,0.000000000000e+00,-4.774248017533e-02,-4.774248017533e-02,-4.774248017533e-02,2.314672673221e-01,0,0,1,0,-1.446339483618e+04,0
2.039999999995e-08,6.000000000000e+02,0.000000000000e+00,0.000000000000e+00,1.980949449047e-01,8.496336214118e-01,0.000000000000e+00,-4.829150310670e-02,-4.829150310670e-02,-4.829150310670e-02,8.490887659359e-01,0,0,1,1,-1.210363050982e+04,0
2.079999999995e-08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.989733897059e-01,8.054117543838e-01,0.000000000000e+00,-4.868171973653e-02,-4.868171973653e-02,-4.868171973653e-02,8.054622909151e-01,0,1,0,1,-7.555816588899e+03,0
